# p	 frac_lmcc
0.59	0.6360169491525424
0.590404040404	0.000846740050804403
0.590808080808	0.0008460236886632825
0.591212121212	0.0008456659619450317
0.591616161616	0.0008449514152936206
0.59202020202	0.0008442380751371887
0.592424242424	0.0008438818565400844
0.592828282828	0.0008431703204047217
0.593232323232	0.0008428150021070375
0.593636363636	0.0004210526315789474
0.59404040404	0.0008413967185527977
0.594444444444	0.0008410428931875525
0.594848484848	0.5067226890756302
0.595252525253	0.0008396305625524769
0.595656565657	0.5081829626521192
0.596060606061	0.610062893081761
0.596464646465	0.586756077116513
0.596868686869	0.0008375209380234506
0.597272727273	0.0008368200836820083
0.597676767677	0.000836470096194061
0.598080808081	0.0008357709987463436
0.598484848485	0.5860484544695072
0.598888888889	0.0008347245409015025
0.599292929293	0.0008340283569641367
0.599696969697	0.0008336807002917883
0.600101010101	0.0008329862557267805
0.600505050505	0.6550145651269247
0.600909090909	0.0008319467554076539
0.601313131313	0.0008312551953449709
0.601717171717	0.5957623597839634
0.602121212121	0.49813200498132004
0.602525252525	0.0008295313148071339
0.602929292929	0.0008291873963515755
0.603333333333	0.0008285004142502071
0.603737373737	0.0008281573498964803
0.604141414141	0.5854364915184113
0.604545454545	0.0008267879288962381
0.604949494949	0.0008264462809917355
0.605353535354	0.6127167630057804
0.605757575758	0.0012376237623762376
0.606161616162	0.5727835051546392
0.606565656566	0.0008240626287597857
0.60696969697	0.0008237232289950577
0.607373737374	0.0008230452674897119
0.607777777778	0.0008223684210526315
0.608181818182	0.0008220304151253596
0.608585858586	0.5913757700205339
0.60898989899	0.0008210180623973727
0.609393939394	0.6197703035274815
0.609797979798	0.6561475409836065
0.610202020202	0.5493650143383859
0.610606060606	0.0008186655751125665
0.61101010101	0.0008179959100204499
0.611414141414	0.6173344235486509
0.611818181818	0.5743464052287581
0.612222222222	0.0008166598611678236
0.612626262626	0.5614035087719298
0.61303030303	0.6090501426824296
0.613434343434	0.6014669926650367
0.613838383838	0.6278501628664495
0.614242424242	0.000814000814000814
0.614646464646	0.5945506303375356
0.615050505051	0.0008126777732629012
0.615454545455	0.0008123476848090983
0.615858585859	0.606737012987013
0.616262626263	0.5677210056772101
0.616666666667	0.0008107012565869477
0.617070707071	0.0008100445524503848
0.617474747475	0.6182186234817814
0.617878787879	0.0004045307443365696
0.618282828283	0.0008084074373484236
0.618686868687	0.0008080808080808081
0.619090909091	0.6511909568025838
0.619494949495	0.6033091202582728
0.619898989899	0.6245967741935484
0.620303030303	0.0008058017727639
0.620707070707	0.6697543294401933
0.621111111111	0.0008048289738430583
0.621515151515	0.0008041817450743868
0.621919191919	0.6065112540192926
0.622323232323	0.553012048192771
0.622727272727	0.6118024889602569
0.623131313131	0.614921780986763
0.623535353535	0.5398797595190381
0.623939393939	0.671875
0.624343434343	0.655724579663731
0.624747474747	0.6402561024409764
0.625151515152	0.6245501799280287
0.625555555556	0.0007990411506192569
0.62595959596	0.6353833865814696
0.626363636364	0.7015163607342378
0.626767676768	0.6866028708133971
0.627171717172	0.0007971303308090873
0.627575757576	0.663878932696137
0.62797979798	0.5306528662420382
0.628383838384	0.6610978520286396
0.628787878788	0.6307631160572337
0.629191919192	0.6209773539928486
0.629595959596	0.6705041683207622
0.63	0.5686507936507936
