# p*k	 frac_lmcc
2.36	5.296610169491525e-05
2.36161616162	5.2929656486529405e-05
2.36323232323	5.289326139849783e-05
2.36484848485	5.2856916327501456e-05
2.36646464646	5.2820621170504965e-05
2.36808080808	5.278437582475587e-05
2.3696969697	5.274818018778352e-05
2.37131313131	5.2712034157398135e-05
2.37292929293	5.267732504543419e-05
2.37454545455	5.2641276024530834e-05
2.37616161616	5.260527630921381e-05
2.37777777778	5.2569325798396634e-05
2.37939393939	5.2533424391268947e-05
2.38101010101	5.249757198729559e-05
2.38262626263	5.246176848621567e-05
2.38424242424	5.2427388067526476e-05
2.38585858586	5.2391680201184054e-05
2.38747474747	5.2356020942408376e-05
2.38909090909	5.232041019201591e-05
2.39070707071	5.2284847851092756e-05
2.39232323232	5.2249333820993784e-05
2.39393939394	5.2213868003341685e-05
2.39555555556	5.2179811630880014e-05
2.39717171717	5.214444009907443e-05
2.39878787879	5.210911648992991e-05
2.4004040404	5.207384070612128e-05
2.40202020202	5.2038612650586735e-05
2.40363636364	5.200343222652695e-05
2.40525252525	5.196829933740418e-05
2.40686868687	5.193456245131135e-05
2.40848484848	5.189952252439278e-05
2.4101010101	5.186452984803693e-05
2.41171717172	5.18295843267337e-05
2.41333333333	5.179468586523023e-05
2.41494949495	5.175983436853002e-05
2.41656565657	5.17250297418921e-05
2.41818181818	5.1691607867462715e-05
2.4197979798	5.165689490404732e-05
2.42141414141	5.162222853160571e-05
2.42303030303	5.158760865640073e-05
2.42464646465	5.1553035184946515e-05
2.42626262626	5.1518508024007624e-05
2.42787878788	5.1484027080598245e-05
2.42949494949	5.145091582630171e-05
2.43111111111	5.141652527122217e-05
2.43272727273	5.13821806597472e-05
2.43434343434	5.134788189987163e-05
2.43595959596	5.1313628899835795e-05
2.43757575758	5.127942156812471e-05
2.43919191919	0.5305421748488265
2.44080808081	5.1212454869024144e-05
#another run for larger p
2.48	0.5719506048387096
2.48444444444	0.6130509156771986
2.48888888889	0.62109836024408
2.49333333333	0.6245300045119567
2.49777777778	0.5892405855123233
2.50222222222	0.6233389949045859
2.50666666667	0.6338295060712594
2.51111111111	0.6621285280501767
2.51555555556	0.6473204303212502
2.52	0.6389384920634921
