# p	 frac_lmcc_rr
0.55	7.27246281953e-05
0.55275862069	7.2364136334e-05
0.555517241379	7.20046082949e-05
0.558275862069	7.16486350935e-05
0.561034482759	7.12961642664e-05
0.563793103448	7.09471443774e-05
0.566551724138	7.06015249929e-05
0.569310344828	7.02592566571e-05
0.572068965517	6.99202908684e-05
0.574827586207	6.95845800571e-05
0.577586206897	6.92520775623e-05
0.580344827586	6.89227376111e-05
0.583103448276	6.8596515297e-05
0.585862068966	3.41366832799e-05
0.588620689655	0.786388964392
0.591379310345	0.806486523048
0.594137931034	0.828760898105
0.596896551724	0.836086446641
0.599655172414	0.849481372778
0.602413793103	0.856113674845
0.605172413793	0.871773687167
0.607931034483	0.872750600388
0.610689655172	0.882790240707
0.613448275862	0.893554591986
0.616206896552	0.894583103437
0.618965517241	0.897250315034
0.621724137931	0.904654678805
0.624482758621	0.911801441153
0.62724137931	0.911456174473
0.63	0.917396825397
